Year,Age,mean,median,q025,q975,q250,q750
2000,7,0.06536796501,0.06454119999999999,0.013822307606444649,0.20424597427520252,0.03541707433145007,0.08981671779342243
2001,7,0.13462582234,0.133655,0.03142910071469456,0.35517772352779986,0.07709325092771602,0.17811450958541325
2002,7,0.13188838116,0.13069,0.028828024005224967,0.35697702506678464,0.07382074767563239,0.17793975928058503
2003,7,0.04485527869,0.0443811,0.00945224663098841,0.1425787909813655,0.02427476291957466,0.06185123849620014
2004,7,0.06615703332,0.0654621,0.013923844265384313,0.21257875909595478,0.036041252675456804,0.09399020925061252
2005,7,0.09702576596,0.09620719999999999,0.021139702952545948,0.2842569541360282,0.054088912826819685,0.13392353819592093
2006,7,0.08513172046,0.08409805000000001,0.0181798742915363,0.24934337004075283,0.04670302317149951,0.11565961935692667
2007,7,0.19073070882,0.18989650000000002,0.045858770232867864,0.4551077484907834,0.11123721378392092,0.25114788227650914
2008,7,0.04330579953,0.042640300000000006,0.009322012033066368,0.14070450121082842,0.02326239970745145,0.05980286192509138
2009,7,0.06181190486,0.061076149999999996,0.013250027944225288,0.195646301084557,0.03315317357231194,0.08517746473061194
2010,7,0.07166082238,0.0708619,0.01493523019411537,0.21687554002975526,0.03895967421989771,0.09678794170229246
2011,7,0.09674801327,0.0954229,0.021328713891412894,0.27069923051668576,0.052984941857610914,0.12945162425634993
2012,7,0.13727595321,0.1360035,0.03160236384066029,0.366040451207173,0.07705683541690049,0.1847897185894462
2013,7,0.13971542602,0.138634,0.0330944250595687,0.3695399029764621,0.07799643051761407,0.18422251218616148
2014,7,0.13461371816,0.13334249999999997,0.03125714529710854,0.3632814899892693,0.0762694893483083,0.18387582818071121
2015,7,0.06922474534,0.06850225,0.014915443560599638,0.20617655367711513,0.0377273906409006,0.09527446780352823
2016,7,0.03084936084,0.030319850000000002,0.006001552399968054,0.11787000434825474,0.0165422860795639,0.04629326038282242
2017,7,0.06591499616,0.06511159999999999,0.01389700760278946,0.21319379756779963,0.035766295696317174,0.09455466879375106
2018,7,0.010980527901,0.0107332,0.0021999282049658744,0.039492120072567555,0.005749882379323693,0.015554273851831356
1980,8,0.001491876152217881,7.822375e-4,2.1750814100886187e-7,0.010753490106175382,9.620775497750291e-5,0.002041351795604206
1981,8,0.00161101863085,0.0011736049999999999,1.1109110595848111e-4,0.008551157779703899,4.95211829312735e-4,0.0022408115739327335
1982,8,0.007697273413,0.00735888,0.0013879169593252196,0.02911178990623616,0.003790807783915639,0.010723570251170964
1983,8,0.03998700182,0.038962300000000005,0.008319923250070803,0.13199668402049095,0.020879811004161128,0.05460512977331773
